,post_id,owner_id,from_id,text,reply_owner_id,reply_post_id,num_comments,date
0,692,10003,10003,"Ёлка стоит, гирлянда горит, мандарины пахнут… А новогоднего настроения нет! Что делать?

#НетНовогоднегоНастроения #НовыйГод2020",,,0,1576847350
1,686,10003,308444865,,,,0,1507107622
2,683,10003,308444865,"😉 Открытки и поздравления! 😉 

    Новая открытка для Вас

    смотреть здесь ==> http://vk.com/app2720994 ❤",,,0,1494325267
3,681,10003,62371784,"😉 Открытки и поздравления! 😉 

    Новая открытка для Вас

    смотреть здесь ==> http://vk.com/app1823965 ❤",,,0,1483288549
4,674,10003,308444865,"😉 Открытки и поздравления! 😉 

    Новая открытка для Вас

    смотреть здесь ==> http://vk.com/app2720994 ❤",,,0,1468225724
5,671,10003,10003,,,,2,1466634051
6,667,10003,62371784,🌷 http://vk.com/top_cards#4756718 😃,,,0,1451763613
7,666,10003,23632649,,,,0,1451660316
8,665,10003,2819483,"😉 Открытки и поздравления! 😉 

    Новая открытка для Вас

    смотреть здесь ==> http://vk.com/app1803950 ❤",,,0,1451587236
9,663,10003,62371784,"С наступающим Новым Годом!
 😃 Красивые картинки и открытки ♥ vk.com/fotomimi ♥",,,0,1451474081
10,654,10003,308444865,"Привет! У тебя есть непросмотренные открытки от друзей! 
 Смотри тут: ♥ http://vk.com/app2815682 ♥",,,0,1435859012
11,652,10003,308444865,"Привет! У тебя есть непросмотренные открытки от друзей! 
 Смотри тут: ♥ http://vk.com/app2815682 ♥",,,0,1435061540
12,651,10003,308444865,"Привет! У тебя есть непросмотренные открытки от друзей! 
 Смотри тут: ♥ http://vk.com/app2815682 ♥",,,0,1434296493
13,650,10003,308444865,Красивые открытки! ♥ vk.com/app625457 ♥,,,0,1433920841
14,649,10003,337131,,,,0,1429311658
15,648,10003,32819815,🌷 http://vk.com/flower_cards#4683463 😃,,,0,1428865092
16,647,10003,3463009,"Пасха
 😃 Красивые картинки и открытки ♥ vk.com/fotomimi ♥",,,0,1428855056
17,646,10003,145544727,"С Пасхой!!!
 😃 Красивые картинки и открытки ♥ vk.com/fotomimi ♥",,,0,1428820015
18,644,10003,145544727,"С Благовещением!
 😃 Красивые картинки и открытки ♥ vk.com/fotomimi ♥",,,0,1428412570
19,643,10003,32819815,🌷 http://vk.com/flower_cards#4680332 😃,,,0,1428259504
20,642,10003,145544727,😃 Красивые картинки и открытки ♥ vk.com/fotomimi ♥,,,0,1428184742
21,625,10003,10003,Гипноснеговик сгенерирован,,,1,1423338039
22,602,10003,36184576,отправлено через ♥ vk.com/app625457 ♥,,,0,1420126702
23,601,10003,32819815,🌷 http://vk.com/flower_cards#4636835 😃,,,0,1420018127
24,600,10003,3463009,"Новый Год 
 😃 Красивые картинки и открытки ♥ vk.com/fotomimi ♥",,,0,1420014049
25,599,10003,8822205,"Зима! С наступающим Новым годом!
 😃 Красивые картинки и открытки ♥ vk.com/fotomimi ♥",,,0,1419958177
26,588,10003,20226703,,,,0,1408567449
27,587,10003,1631403,,,,0,1408520780
28,576,10003,36184576,"Никита, от всей души поздравляю тебя с днем рождения! Желаю здоровья, материальных благ, любви родных и близких и исполнения желаний!
😃 Красивые картинки и открытки ♥ vk.com/fotomimi ♥",,,0,1402426986
29,570,10003,10003,,,,0,1399364281
30,569,10003,1631403,,,,0,1398253519
31,558,10003,54779,,,,9,1394652613
32,555,10003,1631403,,,,0,1393555105
33,554,10003,1631403,,,,0,1393156875
34,553,10003,726757,,,,0,1393101264
35,549,10003,39421279,С Днем Рождения!!!,,,0,1388564276
36,548,10003,36184576,"С НОВЫМ ГОДОМ!
😃 Красивые картинки и открытки ♥ vk.com/fotomimi ♥",,,0,1388532354
37,547,10003,726757,,,,0,1388489892
38,546,10003,3463009,С НАСТУПАЮЩИМ НОВЫМ ГОДОМ!!!,,,0,1388468814
39,534,10003,231329657,"Hello my friend,
How are you? I hope you are doing fine. I am privileged to go through your profile and it interests me. Therefore I will be glad to establish friendship / serious relationship with you. Kindly contact me through my private email box: favourharry@hotmail.com : for further information and also to enable us exchange pictures and other private information and contacts. I will be waiting for your response.

Best regards,
Favour.
favourharry@hotmail.com",,,6,1384615366
40,532,10003,20226703,,,,0,1382917557
41,531,10003,20226703,,,,0,1382917533
42,530,10003,20226703,,,,0,1382917261
43,528,10003,2093916,,,,0,1380842300
44,527,10003,10003,,,,0,1380492581
45,524,10003,54779,Валентин Стрыкало - Наше лето,,,0,1373560829
46,523,10003,19064332,☆Отправлено через https://vk.com/top_cards#4053685,,,0,1370888752
47,522,10003,10003,"85% скидка (150 руб. вместо 1000 руб.) на 2 или 3 часа бурного пейнтбольного экшена на закрытой или открытой площадке в клубе Синдикат! 
 

 Купонатор на Google Play: https://play.google.com/store/apps/details?id=ru.kuponator",,,0,1365710292
48,521,10003,168899342,,,,0,1365164721
49,520,10003,157053472,Тебе справочка http://vk.com/app2762648#/certificates/11092846,,,0,1364806786
50,519,10003,19064332,☆Отправлено через https://vk.com/top_cards#3016689,,,0,1361619516
51,518,10003,9560835,☆Отправлено через https://vk.com/top_cards#3895434,,,0,1361606640
52,517,10003,157053472,"Говорят, в Новом году у вас в доме появится новый член семьи. Ждёте? Вот он! https://vk.com/app2713315",,,0,1360344108
53,516,10003,1631403,,,,0,1357560156
54,513,10003,1631403,"И не надо мне больше мозг вскрывать! Вот тебе оригинал и в перепевка,та что в акакао играла!",,,2,1357306864
55,512,10003,157053472,Попробовать угадать ==> www.vk.com/ruki2#1570534721357294836564 <== В одной руке  я спрятала кое - что! Твоя задача правильно угадать в какой руке ( в левой или в правой)! Если угадаешь - узнаешь что в руке!,,,0,1357294840
56,511,10003,42782195,поздравляю тебя с новым годом желаю тебе счастью и любви!,,,0,1356993450
57,510,10003,36184576,,,,0,1356971176
58,509,10003,36184576,,,,0,1356971164
59,508,10003,3463009,☆Отправлено через https://vk.com/app1804162#3698235,,,0,1356934684
60,507,10003,19064332,С Новым годом!!!,,,0,1356900597
61,506,10003,19064332,,,,0,1356900585
62,505,10003,10003,,,,0,1356858927
63,503,10003,1631403,,,,0,1356417975
64,495,10003,54779,"Drago, Vahtang, Grizz-lee - Beatbox & Rap in center of Moscow",,,0,1354486845
65,494,10003,337131,,,,0,1354448620
66,493,10003,1631403,,,,0,1354207169
67,492,10003,54779,Сумерки Сага Полурассвет - трейлер 2012,,,0,1353785441
68,489,10003,10003,"Жизнь – это не те моменты, которые проходят, а те, которые запоминаются.",,,1,1353712091
69,488,10003,54779,,,,0,1352482924
70,487,10003,20226703,,,,0,1352445932
71,484,10003,726757,,,,2,1352238421
72,483,10003,726757,,,,0,1352138449
73,482,10003,726757,,,,0,1352119058
74,478,10003,10003,,,,1,1351356890
75,473,10003,20226703,,,,0,1351109285
76,465,10003,10003,Теперь и я стал грозой пробок ;-),,,7,1351070489
77,463,10003,1631403,,,,0,1350401460
78,461,10003,54779,Жирафик Рафик учит детей правилам дорожного движения,,,0,1349931210
79,459,10003,20226703,,,,0,1349900214
80,458,10003,1631403,Где тебя носит?! ТЫ заманал!!!,,,0,1349871707
81,457,10003,20226703,,,,0,1349809924
82,453,10003,20226703,,,,0,1349727361
83,448,10003,20226703,,,,0,1349046446
84,443,10003,10003,Дааа в централке действительно круто =),,,4,1349007294
85,439,10003,20226703,,,,3,1348690220
86,437,10003,157053472,Подарок: Пиратская актиния,,,0,1348250340
87,436,10003,474561,"Танцевальная Hip Hop студия ""КУХНЯ танца"".
20 сентября день БЕСПЛАТНЫХ ОТКРЫТЫХ УРОКОВ!!!
УСПЕЙ ЗАПИСАТЬСЯ!!!
(ссылка на группу под видео)",,,0,1348038169
88,432,10003,10003,"Бггг.....Поймал подвязку, теперь ищу жертву =)))
P.s. Букет приветствуется.",,,2,1347787704
89,431,10003,10003,Аха-ха,,,0,1347655850
90,430,10003,10003,"Пятничные комиксы (156 фото) , фото # 87",,,0,1347655740
91,429,10003,54779,,,,0,1347570330
92,428,10003,54779,,,,0,1347570057
93,427,10003,54779,,,,0,1347568167
94,426,10003,54779,,,,0,1347484478
95,424,10003,20226703,жирные все какие,,,0,1347314706
96,423,10003,54779,,,,0,1346700100
97,422,10003,54779,,,,0,1346699932
98,420,10003,20226703,Охуенно же,,,1,1346611279
99,419,10003,20226703,,,,0,1346585464
100,418,10003,20226703,,,,0,1346442519
101,417,10003,54779,На трезвую голову: Android против iOS (Часть 1),,,0,1346411664
102,413,10003,20226703,последнее на сегодня,,,1,1345669188
103,410,10003,20226703,,,,2,1345668691
104,407,10003,20226703,пошли на него,,,2,1345664253
105,406,10003,10003,,,,0,1344944834
106,404,10003,10003,Аткрытка №173158 с сайта atkritka.com ,,,0,1344923253
107,403,10003,10003,Аткрытка №34928 с сайта atkritka.com ,,,0,1344923169
108,402,10003,10003,Аткрытка №23598 с сайта atkritka.com ,,,0,1344922949
109,401,10003,54779,Комедийная короткометражка «Детектор лжи» (Lie Detector),,,0,1344671100
110,399,10003,20226703,,,,1,1344540056
111,398,10003,10003,"http://www.incredibox.com/?music=5022CAC0ED515 
Крутяшная вещь =)",,,0,1344457952
112,397,10003,54779,,,,0,1344453401
113,396,10003,10003,"Воображение важнее, чем знание.",,,0,1344283448
114,394,10003,10003,Ура сваливаем!,,,0,1343991309
115,390,10003,337131,,,,0,1343600252
116,387,10003,216056,"С Днем,мужчина!",,,0,1339323666
117,386,10003,157053472,"Отправлено через ОгромныеОткрытки
http://vk.com/app1804162?from_id=157053472&loc=1i1i3188279",,,0,1339312352
118,385,10003,2388631,"Отправлено через ОгромныеОткрытки
http://vk.com/app1804162?from_id=2388631&loc=1i1i3120793",,,0,1339310604
119,384,10003,3463009,"С Днем рождения!!!
http://vk.com/app1804162?from_id=3463009&loc=1i1i3123073",,,0,1339310261
120,383,10003,89370786,С Днем Рождения!!)),,,0,1339308211
121,382,10003,39421279,С Днем Рождения!!!,,,0,1339306087
122,381,10003,10003,"Хе-хе буду отмечать 2-а дня рождения, по местному времени и по питерскому.....ггггг",,,0,1339254502
123,380,10003,13443354,,,,0,1338850731
124,376,10003,20226703,,,,0,1337542680
125,375,10003,20226703,у них это получается потому что они черные,,,0,1337196222
126,374,10003,10003,,,,0,1337123057
127,371,10003,10003,Кока не хочет показать мне свой попусай. как мне поступить с ним?,,,2,1336989805
128,363,10003,10003,Филин предлогает перепихон. Считатеться ли это гомосятиной?,,,2,1335870106
129,361,10003,20226703,,,,0,1335813945
130,355,10003,337131,,,,2,1334003868
131,351,10003,10003,,,,0,1330980830
132,349,10003,157053472,https://vk.com/spec_effects?mid=10003&from_id=157053472&loc=279863513,,,0,1330791920
133,347,10003,10003,,,,0,1330721600
134,346,10003,10003,Тимати - Я буду ждать (official version),,,0,1330468753
135,328,10003,3463009,"С НАСТУПАЮЩИМ! ПОСМОТРИ ОБЯЗАТЕЛЬНО)))  http://vkontakte.ru/app625457
https://vk.com/app625457_10003?from_id=3463009&loc=17a0a1a29a",,,0,1325314693
136,326,10003,54779,,,,0,1325164868
137,321,10003,10003,"У меня такое чувство, будто я оказалась среди людей, которые собираются жить вечно. Во всяком случае, они так себя ведут. Их настолько занимают деньги, что они забыли о жизни. (c)Ремарк",,,0,1324025430
138,318,10003,10003,ё.ё.ё. погоняли на лыжах....гггг.....сломал.....палку =) и нога теперь болит =))) вывод лыжи не моё ггггг,,,0,1323354161
139,317,10003,10003,еее.....билеты купили на 27 число =)),,,1,1323333973
140,314,10003,27722218,,,,0,1321867746
141,313,10003,3463009,"Дарю тебе минибук с твоими фотографиями.
Создай минибук в приложении http://vkontakte.ru/app2405027 и напечатай бесплатно.",,,0,1321602268
142,296,10003,10003,,,,3,1318617872
143,293,10003,54779,+100500 - Снуп Дог,,,0,1317503852
144,290,10003,54779,,,,0,1317398172
145,289,10003,56254826,,,,0,1317147196
146,283,10003,20226703,,,,0,1314697153
147,282,10003,74512,,,,0,1314653313
148,281,10003,64135952,,,,1,1314646786
149,280,10003,337131,,,,0,1314384929
150,276,10003,20226703,,,,1,1313612296
151,269,10003,17699320,,,,0,1313178885
152,252,10003,54779,,,,0,1310806791
153,251,10003,17699320,AWFILMS | Team ISO | Import Alliance 2011,,,0,1310656636
154,247,10003,20226703,Кратко :: Новости :: Rap.ru,,,1,1309561387
155,239,10003,17699320,,,,0,1308517032
156,238,10003,54779,,,,0,1308491990
157,237,10003,54779,,,,0,1308491978
158,236,10003,54779,,,,0,1308491970
159,235,10003,50889579,,,,0,1308071131
160,233,10003,39421279,С Днем Рождения!!!,,,0,1307697487
161,232,10003,216056,"С Днем, мужик!",,,0,1307695062
162,231,10003,49754132,с днём рождения :),,,0,1307670198
163,230,10003,20226703,Смотреть онлайн Всегда солнечно в Филадельфии (сериал 2005),,,0,1307643738
164,228,10003,337131,,,,0,1305484229
165,227,10003,337131,,,,0,1305484217
166,220,10003,20226703,,,,1,1304278086
167,216,10003,20226703,,,,1,1302380374
168,215,10003,337131,,,,0,1302183519
169,205,10003,171893,"Как на масленой неделе
Из печи блины летели!
С пылу, с жару, из печи,
Все румяны, горячи!
Масленица, угощай!
Всем блиночков подавай.
С пылу, с жару - разбирайте!
Похвалить не забывайте.",,,0,1299404935
170,197,10003,337131,,,,0,1298577081
171,191,10003,20226703,я нашел себе ствол,,,0,1296953745
172,190,10003,20226703,,,,0,1296953291
173,189,10003,20226703,,,,1,1296953143
174,188,10003,337131,,,,0,1296950043
175,187,10003,56254826,,,,0,1296150320
176,184,10003,17699320,Воо про этот говорил!,,,0,1295474868
177,170,10003,337131,,,,2,1294133963
178,163,10003,10003,,,,7,1293916761
179,161,10003,54779,я дебил!!!!,,,2,1293845125
180,156,10003,20226703,ты педик без принципов!,,,0,1292283747
181,149,10003,20226703,.,,,2,1291148300
182,147,10003,20226703,,,,0,1291044575
183,146,10003,621922,,,,0,1291040700
184,145,10003,621922,,,,0,1290944581
185,143,10003,20226703,мужская любовь)),,,0,1290856037
186,142,10003,20226703,,,,0,1290787684
187,141,10003,337131,,,,0,1290720254
188,136,10003,54779,,,,0,1290459530
189,127,10003,621922,,,,1,1289595266
190,126,10003,21297052,,,,0,1289553701
191,117,10003,20226703,,,,0,1288736925
192,116,10003,54779,,,,0,1288469408
193,115,10003,54779,,,,0,1288262351
194,114,10003,337131,,,,0,1288211656
195,113,10003,20226703,пес убийца,,,0,1288073335
